sugar_consum year
6.408 1823
6.2656 1824
5.696 1825
6.5504 1826
7.2624 1827
8.188 1828
8.0456 1829
8.6152 1830
7.6184 1831
7.12 1832
9.0424 1833
10.324 1834
10.1816 1835
8.4728 1836
8.6152 1837
10.1816 1838
10.324 1839
10.0392 1840
10.4664 1841
9.612 1842
10.0392 1843
11.5344 1844
13.4568 1845
14.0264 1846
15.1656 1847
16.4472 1848
15.2368 1849
16.4472 1850
19.3664 1851
21.9296 1852
17.1592 1853
23.7096 1854
21.36 1855
20.7192 1856
19.7224 1857
21.6448 1858
22.9264 1859
21.716 1860
24.4216 1861
16.732 1862
12.6736 1863
12.8872 1864
15.308 1865
18.9392 1866
20.0072 1867
20.8616 1868
22.9264 1869
25.1336 1870
26.7712 1871
27.8392 1872
28.6224 1873
29.192 1874
28.6936 1875
27.412 1876
32.8232 1877
27.4832 1878
27.1272 1879
30.4024 1880
31.4704 1881
34.4608 1882
36.3832 1883
38.0208 1884
36.8816 1885
40.5128 1886
37.5224 1887
40.3704 1888
36.8816 1889
37.5936 1890
47.2056 1891
45.4256 1892
45.8528 1893
47.4904 1894
45.1408 1895
44.5 1896
46.1376 1897
43.788 1898
44.5712 1899
46.4224 1900
48.9144 1901
51.8336 1902
50.4808 1903
53.6136 1904
50.196 1905
54.1832 1906
55.20848 1907
57.8144 1908
60.05008 1909
61.63784 1910
63.26832 1911
62.20744 1912
65.51112 1913
65.13376 1914
62.89096 1915
62.77704 1916
63.88776 1917
63.7952 1918
73.7276 1919
71.12168 1920
70.90808 1921
84.14416 1922
74.52504 1923
81.53112 1924
84.11568 1925
85.03416 1926
84.34352 1927
85.5824 1928
80.40616 1929
88.77928 1930
81.4172 1931
77.22352 1932
77.6792 1933
77.13096 1934
78.33424 1935
79.0676 1936
77.43712 1937
76.74648 1938
80.76216 1939
77.35168 1940
84.21536 1941
72.06152 1942
70.21032 1943
76.26232 1944
65.4328 1945
66.42248 1946
80.86184 1947
76.5044 1948
78.05656 1949
81.47416 1950
76.56136 1951
78.26304 1952
78.1776 1953
76.73224 1954
77.33744 1955
78.09216 1956
75.80664 1957
77.91416 1958
77.86432 1959
78.81128 1960
79.11032 1961
79.84368 1962
80.27088 1963
79.76536 1964
80.03592 1965
80.3848 1966
81.3104 1967
82.3072 1968
83.9448 1969
84.84192 1970
85.56816 1971
86.53648 1972
86.83552 1973
83.95904 1974
81.0612 1975
85.37592 1976
87.31968 1977
85.73192 1978
85.37592 1979
85.60376 1980
85.28336 1981
83.80952 1982
84.93448 1983
86.70024 1984
89.84016 1985
88.51584 1986
91.71272 1987
92.70952 1988
91.48488 1989
94.29728 1990
94.58208 1991
96.9032 1992
99.06768 1993
100.79072 1994
102.58496 1995
102.81992 1996
105.16952 1997
106.0524 1998
107.69712 1999
105.9456 2000
104.67112 2001
104.01608 2002
100.61984 2003
100.80496 2004
100.84768 2005
