year sugar_consum
1822 6.3368
1823 6.408
1824 6.2656
1825 5.696
1826 6.5504
1827 7.2624
1828 8.188
1829 8.0456
1830 8.6152
1831 7.6184
1832 7.12
1833 9.0424
1834 10.324
1835 10.1816
1836 8.4728
1837 8.6152
1838 10.1816
1839 10.324
1840 10.0392
1841 10.4664
1842 9.612
1843 10.0392
1844 11.5344
1845 13.4568
1846 14.0264
1847 15.1656
1848 16.4472
1849 15.2368
1850 16.4472
1851 19.3664
1852 21.9296
1853 17.1592
1854 23.7096
1855 21.36
1856 20.7192
1857 19.7224
1858 21.6448
1859 22.9264
1860 21.716
1861 24.4216
1862 16.732
1863 12.6736
1864 12.8872
1865 15.308
1866 18.9392
1867 20.0072
1868 20.8616
1869 22.9264
1870 25.1336
1871 26.7712
1872 27.8392
1873 28.6224
1874 29.192
1875 28.6936
1876 27.412
1877 32.8232
1878 27.4832
1879 27.1272
1880 30.4024
1881 31.4704
1882 34.4608
1883 36.3832
1884 38.0208
1885 36.8816
1886 40.5128
1887 37.5224
1888 40.3704
1889 36.8816
1890 37.5936
1891 47.2056
1892 45.4256
1893 45.8528
1894 47.4904
1895 45.1408
1896 44.5
1897 46.1376
1898 43.788
1899 44.5712
1900 46.4224
1901 48.9144
1902 51.8336
1903 50.4808
1904 53.6136
1905 50.196
1906 54.1832
1907 55.20848
1908 57.8144
1909 60.05008
1910 61.63784
1911 63.26832
1912 62.20744
1913 65.51112
1914 65.13376
1915 62.89096
1916 62.77704
1917 63.88776
1918 63.7952
1919 73.7276
1920 71.12168
1921 70.90808
1922 84.14416
1923 74.52504
1924 81.53112
1925 84.11568
1926 85.03416
1927 84.34352
1928 85.5824
1929 80.40616
1930 88.77928
1931 81.4172
1932 77.22352
1933 77.6792
1934 77.13096
1935 78.33424
1936 79.0676
1937 77.43712
1938 76.74648
1939 80.76216
1940 77.35168
1941 84.21536
1942 72.06152
1943 70.21032
1944 76.26232
1945 65.4328
1946 66.42248
1947 80.86184
1948 76.5044
1949 78.05656
1950 81.47416
1951 76.56136
1952 78.26304
1953 78.1776
1954 76.73224
1955 77.33744
1956 78.09216
1957 75.80664
1958 77.91416
1959 77.86432
1960 78.81128
1961 79.11032
1962 79.84368
1963 80.27088
1964 79.76536
1965 80.03592
1966 80.3848
1967 81.3104
1968 82.3072
1969 83.9448
1970 84.84192
1971 85.56816
1972 86.53648
1973 86.83552
1974 83.95904
1975 81.0612
1976 85.37592
1977 87.31968
1978 85.73192
1979 85.37592
1980 85.60376
1981 85.28336
1982 83.80952
1983 84.93448
1984 86.70024
1985 89.84016
1986 88.51584
1987 91.71272
1988 92.70952
1989 91.48488
1990 94.29728
1991 94.58208
1992 96.9032
1993 99.06768
1994 100.79072
1995 102.58496
1996 102.81992
1997 105.16952
1998 106.0524
1999 107.69712
2000 105.9456
2001 104.67112
2002 104.01608
2003 100.61984
2004 100.80496
2005 100.84768
